s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX
,166.36,166.36,166.36,166.36,0.0,1998-09-03,166.8168,52.08073919682871,47.919260803171305,19.943286668838063
,166.37,166.37,166.37,166.37,0.0,1998-09-06,166.803864,52.47531024338695,47.524689756613064,16.944753432425227
,166.21,166.21,166.21,166.21,0.0,1998-09-07,166.79118672,45.05549832287449,54.94450167712552,15.533603416790388
,167.3,167.3,167.3,167.3,0.0,1998-09-08,166.17,75.07142838341724,24.928571616582758,22.455454086799207
,167.49,167.49,167.49,167.49,0.0,1998-09-09,166.1926,77.72309834820807,22.27690165179194,29.053602608722592
,167.74,167.74,167.74,167.74,0.0,1998-09-10,166.244496,81.04015753078957,18.959842469210432,35.6589450992939
,168.06,168.06,168.06,168.06,0.0,1998-09-13,166.33422624,84.68809673648038,15.311903263519625,42.40239477402727
,168.21,168.21,168.21,168.21,0.0,1998-09-14,166.4722881408,86.23941549137098,13.760584508629034,48.417682015770204
,168.51,168.51,168.51,168.51,0.0,1998-09-15,166.64605932672,89.02039910003614,10.979600899963858,54.342305252630624
,168.42,168.42,168.42,168.42,0.0,1998-09-16,166.8697322075136,82.74911906450464,17.250880935495374,56.57349182790635
,168.53,168.53,168.53,168.53,0.0,1998-09-17,167.06656434261197,84.42538934221426,15.574610657785751,59.02894919921077
